cod_uf,ano,TBI,TBI_limite_inferior,TBI_limite_superior,TBI_padronizada,TBI_padronizada_inf,TBI_padronizada_sup,sigla_uf,nome_uf
11,2000,0,NA,NA,0,NA,NA,RO,Rondônia
11,2001,9.84,8.28,11.61,12.63,10.38,15.23,RO,Rondônia
11,2002,9.62,8.1,11.36,13.2,10.88,15.87,RO,Rondônia
11,2003,8.75,7.3,10.39,12.02,9.84,14.56,RO,Rondônia
11,2004,7.83,6.47,9.38,11.05,8.94,13.49,RO,Rondônia
11,2005,8.06,6.69,9.62,12.03,9.81,14.61,RO,Rondônia
11,2006,7.96,6.61,9.51,10.59,8.67,12.8,RO,Rondônia
11,2007,7.36,6.07,8.84,9.96,8.09,12.14,RO,Rondônia
11,2008,6.26,5.08,7.62,7.86,6.27,9.72,RO,Rondônia
11,2009,7.77,6.46,9.27,10.19,8.35,12.32,RO,Rondônia
11,2010,6.88,5.66,8.29,8.79,7.13,10.72,RO,Rondônia
11,2011,6.67,5.47,8.06,8.12,6.58,9.9,RO,Rondônia
11,2012,6.72,5.52,8.09,8.25,6.71,10.03,RO,Rondônia
11,2013,7.36,6.11,8.79,8.7,7.16,10.47,RO,Rondônia
11,2014,7.51,6.26,8.94,9.15,7.56,10.97,RO,Rondônia
11,2015,4.83,3.84,5.99,5.46,4.3,6.84,RO,Rondônia
11,2016,7.04,5.84,8.42,8.07,6.65,9.7,RO,Rondônia
11,2017,7.19,5.99,8.57,8.46,7,10.13,RO,Rondônia
11,2018,5.58,4.53,6.8,6.47,5.22,7.93,RO,Rondônia
11,2019,6.75,5.6,8.07,7.59,6.27,9.11,RO,Rondônia
11,2020,5.79,4.73,7.01,6.26,5.09,7.61,RO,Rondônia
11,2021,6.11,5.03,7.36,6.87,5.63,8.3,RO,Rondônia
11,2022,6.89,5.73,8.2,7.56,6.28,9.04,RO,Rondônia
11,2023,8.87,7.55,10.35,9.5,8.07,11.11,RO,Rondônia
12,2000,0,NA,NA,0,NA,NA,AC,Acre
12,2001,12.99,10.27,16.21,19.67,15.07,25.23,AC,Acre
12,2002,13.08,10.39,16.26,17.47,13.44,22.33,AC,Acre
12,2003,10.82,8.42,13.69,17.8,13.48,23.06,AC,Acre
12,2004,9.75,7.51,12.45,13.34,9.96,17.51,AC,Acre
12,2005,9.04,6.91,11.61,13.65,10.11,18.02,AC,Acre
12,2006,10.38,8.12,13.07,14.79,11.29,19.04,AC,Acre
12,2007,7.44,5.58,9.74,10.37,7.53,13.93,AC,Acre
12,2008,7.39,5.55,9.64,11.86,8.68,15.83,AC,Acre
12,2009,8.95,6.94,11.37,13.47,10.23,17.4,AC,Acre
12,2010,5.75,4.18,7.72,8.67,6.13,11.91,AC,Acre
12,2011,8.73,6.78,11.07,11.72,8.89,15.16,AC,Acre
12,2012,8.71,6.78,11.03,12.31,9.39,15.85,AC,Acre
12,2013,9.32,7.33,11.68,13.24,10.25,16.84,AC,Acre
12,2014,8.31,6.45,10.54,11.05,8.4,14.26,AC,Acre
12,2015,6.73,5.09,8.74,8.89,6.6,11.73,AC,Acre
12,2016,11.37,9.21,13.89,14.26,11.38,17.65,AC,Acre
12,2017,11.21,9.08,13.69,13.92,11.14,17.18,AC,Acre
12,2018,8.74,6.89,10.94,10.76,8.36,13.62,AC,Acre
12,2019,11.91,9.74,14.41,14.99,12.15,18.29,AC,Acre
12,2020,10.51,8.49,12.86,13.18,10.57,16.24,AC,Acre
12,2021,12.13,9.97,14.62,14.53,11.86,17.63,AC,Acre
12,2022,11.03,8.97,13.41,14.06,11.35,17.22,AC,Acre
12,2023,11.47,9.37,13.9,14.74,11.95,17.98,AC,Acre
13,2000,0,NA,NA,0,NA,NA,AM,Amazonas
13,2001,20.88,19.27,22.6,29.59,26.95,32.43,AM,Amazonas
13,2002,18.18,16.69,19.77,26.42,23.96,29.06,AM,Amazonas
13,2003,16.84,15.42,18.36,25.38,22.94,28.01,AM,Amazonas
13,2004,16.01,14.64,17.48,23.45,21.18,25.88,AM,Amazonas
13,2005,15.34,14.01,16.75,21.86,19.75,24.14,AM,Amazonas
13,2006,15.5,14.19,16.91,21.95,19.85,24.22,AM,Amazonas
13,2007,14.41,13.15,15.75,21.12,19.08,23.33,AM,Amazonas
13,2008,16.25,14.93,17.66,22.65,20.63,24.82,AM,Amazonas
13,2009,15.47,14.19,16.83,21.5,19.55,23.6,AM,Amazonas
13,2010,15.39,14.13,16.74,20.2,18.39,22.14,AM,Amazonas
13,2011,13.79,12.61,15.06,17.7,16.04,19.48,AM,Amazonas
13,2012,16.31,15.03,17.67,21.5,19.67,23.46,AM,Amazonas
13,2013,17.11,15.82,18.49,22.66,20.79,24.65,AM,Amazonas
13,2014,16.02,14.78,17.34,20.88,19.13,22.74,AM,Amazonas
13,2015,16.82,15.56,18.16,21.62,19.87,23.48,AM,Amazonas
13,2016,17.23,15.96,18.58,21.92,20.18,23.76,AM,Amazonas
13,2017,16.53,15.3,17.84,21.39,19.69,23.19,AM,Amazonas
13,2018,17.45,16.19,18.78,21.38,19.75,23.12,AM,Amazonas
13,2019,18.65,17.36,20.01,22.54,20.89,24.28,AM,Amazonas
13,2020,15.45,14.28,16.68,19.11,17.6,20.72,AM,Amazonas
13,2021,17.4,16.17,18.7,20.93,19.39,22.57,AM,Amazonas
13,2022,21.43,20.06,22.86,25.47,23.77,27.26,AM,Amazonas
13,2023,22.37,20.97,23.83,26.5,24.76,28.32,AM,Amazonas
14,2000,0,NA,NA,0,NA,NA,RR,Roraima
14,2001,10.41,7.29,14.41,15.59,10.03,23.12,RR,Roraima
14,2002,10.61,7.51,14.57,15.83,10.71,22.55,RR,Roraima
14,2003,12.69,9.32,16.88,21.33,15.14,29.2,RR,Roraima
14,2004,14.36,10.82,18.69,20.96,15.06,28.4,RR,Roraima
14,2005,8.09,5.54,11.42,12.36,7.96,18.31,RR,Roraima
14,2006,6.13,3.97,9.05,9.26,5.7,14.23,RR,Roraima
14,2007,6.66,4.43,9.63,10.74,6.75,16.23,RR,Roraima
14,2008,6.69,4.48,9.61,9.27,5.86,13.93,RR,Roraima
14,2009,9.64,6.98,12.98,13.04,8.98,18.3,RR,Roraima
14,2010,6.97,4.77,9.85,8.83,5.75,12.97,RR,Roraima
14,2011,8.52,6.09,11.6,14.35,9.88,20.16,RR,Roraima
14,2012,6.87,4.73,9.65,9.57,6.33,13.87,RR,Roraima
14,2013,8.15,5.82,11.09,14.37,10.01,19.99,RR,Roraima
14,2014,4.98,3.22,7.35,6.7,4.1,10.33,RR,Roraima
14,2015,7.99,5.73,10.84,11.76,8.21,16.31,RR,Roraima
14,2016,5.51,3.69,7.92,5.71,3.69,8.44,RR,Roraima
14,2017,9.51,7.1,12.47,12.38,8.98,16.65,RR,Roraima
14,2018,7.98,5.84,10.64,10.58,7.55,14.42,RR,Roraima
14,2019,9.41,7.13,12.19,11.6,8.57,15.36,RR,Roraima
14,2020,9.35,7.12,12.06,11.38,8.5,14.92,RR,Roraima
14,2021,10.42,8.09,13.21,12.22,9.36,15.69,RR,Roraima
14,2022,12.56,9.99,15.59,15.72,12.31,19.79,RR,Roraima
14,2023,20.68,17.34,24.48,23.46,19.45,28.06,RR,Roraima
15,2000,0,NA,NA,0,NA,NA,PA,Pará
15,2001,10.76,9.97,11.58,15.45,14.23,16.75,PA,Pará
15,2002,11.68,10.87,12.53,16.58,15.32,17.91,PA,Pará
15,2003,11.99,11.18,12.84,16.97,15.73,18.29,PA,Pará
15,2004,12.12,11.31,12.97,17.38,16.13,18.7,PA,Pará
15,2005,11.89,11.1,12.72,17.01,15.79,18.31,PA,Pará
15,2006,10.5,9.77,11.27,14.42,13.34,15.57,PA,Pará
15,2007,9.83,9.12,10.57,13.27,12.25,14.36,PA,Pará
15,2008,10.14,9.43,10.89,14.17,13.12,15.28,PA,Pará
15,2009,9.77,9.08,10.5,13.47,12.46,14.53,PA,Pará
15,2010,9.87,9.18,10.59,13.42,12.43,14.46,PA,Pará
15,2011,10.12,9.43,10.85,13.34,12.38,14.36,PA,Pará
15,2012,9.33,8.67,10.03,12.01,11.12,12.96,PA,Pará
15,2013,9.77,9.1,10.48,12.71,11.79,13.67,PA,Pará
15,2014,9.49,8.83,10.18,12.37,11.47,13.32,PA,Pará
15,2015,8.65,8.02,9.31,10.94,10.12,11.82,PA,Pará
15,2016,9.86,9.2,10.56,12.24,11.38,13.14,PA,Pará
15,2017,10,9.33,10.7,12.07,11.23,12.94,PA,Pará
15,2018,10.54,9.86,11.25,12.54,11.7,13.42,PA,Pará
15,2019,11.57,10.86,12.31,13.72,12.85,14.62,PA,Pará
15,2020,9.94,9.29,10.63,11.76,10.97,12.59,PA,Pará
15,2021,10.85,10.17,11.56,12.56,11.75,13.4,PA,Pará
15,2022,11.34,10.64,12.06,13.18,12.35,14.04,PA,Pará
15,2023,12.22,11.5,12.98,14.07,13.23,14.96,PA,Pará
16,2000,0,NA,NA,0,NA,NA,AP,Amapá
16,2001,8.34,6.03,11.23,14.76,10.1,20.84,AP,Amapá
16,2002,12.13,9.36,15.46,20.32,15.02,26.9,AP,Amapá
16,2003,8.09,5.9,10.83,13.72,9.63,18.97,AP,Amapá
16,2004,8.85,6.59,11.64,13.23,9.34,18.21,AP,Amapá
16,2005,8.73,6.52,11.45,13.63,9.73,18.57,AP,Amapá
16,2006,8.62,6.45,11.27,14.86,10.69,20.11,AP,Amapá
16,2007,7.88,5.85,10.39,12.46,8.89,16.98,AP,Amapá
16,2008,7.34,5.41,9.73,12.29,8.7,16.87,AP,Amapá
16,2009,9.64,7.44,12.29,15.26,11.43,19.97,AP,Amapá
16,2010,7.63,5.72,9.99,12.58,9.16,16.85,AP,Amapá
16,2011,8.29,6.31,10.7,12.82,9.42,17.05,AP,Amapá
16,2012,5.91,4.27,7.96,8.68,6.06,12.04,AP,Amapá
16,2013,6.85,5.1,9,9.29,6.72,12.53,AP,Amapá
16,2014,4.85,3.42,6.69,7.08,4.8,10.09,AP,Amapá
16,2015,4.88,3.45,6.69,6.04,4.09,8.59,AP,Amapá
16,2016,7.28,5.53,9.41,10.46,7.73,13.84,AP,Amapá
16,2017,7.01,5.31,9.08,9.7,7.16,12.85,AP,Amapá
16,2018,5.91,4.37,7.81,7.9,5.71,10.66,AP,Amapá
16,2019,8.4,6.56,10.59,10.65,8.17,13.63,AP,Amapá
16,2020,4.87,3.51,6.59,6.61,4.66,9.1,AP,Amapá
16,2021,8.2,6.42,10.33,10.32,7.93,13.19,AP,Amapá
16,2022,9,7.13,11.22,10.74,8.4,13.54,AP,Amapá
16,2023,9.23,7.33,11.47,11.24,8.83,14.11,AP,Amapá
17,2000,0,NA,NA,0,NA,NA,TO,Tocantins
17,2001,4.04,2.99,5.34,6.15,4.48,8.25,TO,Tocantins
17,2002,4.53,3.42,5.88,6.4,4.73,8.46,TO,Tocantins
17,2003,4.21,3.15,5.51,6.2,4.55,8.26,TO,Tocantins
17,2004,4.52,3.44,5.85,5.98,4.43,7.89,TO,Tocantins
17,2005,3.99,2.98,5.23,5.44,3.98,7.26,TO,Tocantins
17,2006,4.29,3.25,5.56,5.8,4.32,7.64,TO,Tocantins
17,2007,3.11,2.24,4.21,4.13,2.92,5.66,TO,Tocantins
17,2008,3.21,2.33,4.31,4.19,3,5.7,TO,Tocantins
17,2009,2.94,2.11,3.99,3.94,2.78,5.42,TO,Tocantins
17,2010,2.55,1.78,3.53,3.3,2.28,4.62,TO,Tocantins
17,2011,2.86,2.06,3.89,3.72,2.64,5.09,TO,Tocantins
17,2012,2.9,2.09,3.92,3.77,2.68,5.14,TO,Tocantins
17,2013,2.59,1.83,3.55,3.18,2.23,4.4,TO,Tocantins
17,2014,2.63,1.87,3.59,3.37,2.38,4.63,TO,Tocantins
17,2015,2.33,1.62,3.24,2.76,1.91,3.87,TO,Tocantins
17,2016,2.76,1.99,3.73,3.3,2.35,4.49,TO,Tocantins
17,2017,2.21,1.53,3.09,2.55,1.75,3.58,TO,Tocantins
17,2018,3.09,2.28,4.09,3.46,2.53,4.61,TO,Tocantins
17,2019,2.99,2.2,3.97,3.18,2.33,4.25,TO,Tocantins
17,2020,2.83,2.06,3.79,3.18,2.31,4.27,TO,Tocantins
17,2021,2.8,2.04,3.75,3.04,2.21,4.08,TO,Tocantins
17,2022,3.17,2.36,4.17,3.54,2.63,4.67,TO,Tocantins
17,2023,3.42,2.58,4.45,3.76,2.82,4.91,TO,Tocantins
21,2000,0,NA,NA,0,NA,NA,MA,Maranhão
21,2001,11.65,10.8,12.56,15.81,14.57,17.12,MA,Maranhão
21,2002,10.89,10.07,11.76,14.4,13.24,15.63,MA,Maranhão
21,2003,11.25,10.42,12.12,15.23,14.04,16.49,MA,Maranhão
21,2004,10.48,9.69,11.31,13.98,12.86,15.16,MA,Maranhão
21,2005,10.83,10.03,11.67,14.52,13.39,15.72,MA,Maranhão
21,2006,8.87,8.16,9.63,11.82,10.82,12.89,MA,Maranhão
21,2007,8.58,7.88,9.33,11.24,10.28,12.27,MA,Maranhão
21,2008,7.74,7.08,8.45,10.43,9.5,11.42,MA,Maranhão
21,2009,6.69,6.08,7.34,8.8,7.97,9.7,MA,Maranhão
21,2010,6.15,5.57,6.78,7.82,7.06,8.64,MA,Maranhão
21,2011,6.97,6.35,7.63,8.93,8.12,9.81,MA,Maranhão
21,2012,6.27,5.68,6.89,8.18,7.4,9.03,MA,Maranhão
21,2013,6.48,5.89,7.11,8.21,7.44,9.03,MA,Maranhão
21,2014,4.96,4.45,5.52,6.18,5.53,6.89,MA,Maranhão
21,2015,5.84,5.29,6.44,7.4,6.68,8.18,MA,Maranhão
21,2016,6.14,5.57,6.75,7.4,6.7,8.15,MA,Maranhão
21,2017,6.33,5.76,6.95,7.67,6.96,8.44,MA,Maranhão
21,2018,6.54,5.95,7.16,7.83,7.12,8.59,MA,Maranhão
21,2019,7.11,6.5,7.76,8.34,7.61,9.11,MA,Maranhão
21,2020,6.17,5.61,6.78,7.24,6.57,7.96,MA,Maranhão
21,2021,7.12,6.51,7.76,8.26,7.55,9.02,MA,Maranhão
21,2022,8.37,7.72,9.07,9.69,8.92,10.51,MA,Maranhão
21,2023,7.97,7.33,8.65,9.3,8.55,10.11,MA,Maranhão
22,2000,0,NA,NA,0,NA,NA,PI,Piauí
22,2001,8.71,7.68,9.84,11.52,10.11,13.08,PI,Piauí
22,2002,8.01,7.03,9.09,10.91,9.53,12.43,PI,Piauí
22,2003,7.27,6.34,8.3,9.78,8.49,11.2,PI,Piauí
22,2004,7.53,6.59,8.57,10.05,8.75,11.47,PI,Piauí
22,2005,8.41,7.41,9.5,11.16,9.82,12.65,PI,Piauí
22,2006,7.79,6.84,8.83,9.85,8.62,11.21,PI,Piauí
22,2007,6.51,5.65,7.47,8.32,7.2,9.57,PI,Piauí
22,2008,6.28,5.43,7.22,7.85,6.77,9.04,PI,Piauí
22,2009,6.27,5.43,7.2,7.56,6.52,8.7,PI,Piauí
22,2010,5.14,4.38,5.98,6.23,5.31,7.28,PI,Piauí
22,2011,5.37,4.6,6.23,6.48,5.54,7.53,PI,Piauí
22,2012,4.98,4.24,5.81,5.97,5.07,6.98,PI,Piauí
22,2013,4.84,4.11,5.66,5.73,4.86,6.72,PI,Piauí
22,2014,4.12,3.45,4.88,4.68,3.91,5.55,PI,Piauí
22,2015,3.46,2.85,4.16,3.88,3.19,4.67,PI,Piauí
22,2016,4.68,3.97,5.49,5.3,4.49,6.22,PI,Piauí
22,2017,4.48,3.79,5.27,5.02,4.24,5.91,PI,Piauí
22,2018,4.87,4.14,5.69,5.38,4.57,6.28,PI,Piauí
22,2019,3.85,3.21,4.58,4.15,3.45,4.94,PI,Piauí
22,2020,4.11,3.45,4.87,4.42,3.7,5.23,PI,Piauí
22,2021,4.65,3.94,5.45,4.92,4.17,5.76,PI,Piauí
22,2022,5.23,4.48,6.07,5.52,4.73,6.42,PI,Piauí
22,2023,5.38,4.62,6.23,5.72,4.91,6.63,PI,Piauí
23,2000,0,NA,NA,0,NA,NA,CE,Ceará
23,2001,9.8,9.12,10.53,12.39,11.49,13.34,CE,Ceará
23,2002,10.66,9.95,11.4,13.7,12.76,14.7,CE,Ceará
23,2003,14.32,13.5,15.18,17.8,16.75,18.91,CE,Ceará
23,2004,11.8,11.06,12.58,14.61,13.67,15.6,CE,Ceará
23,2005,12.24,11.49,13.02,14.87,13.94,15.85,CE,Ceará
